Commodity,Date,Unit,Minimum,Maximum,Average
Papaya(Indian),2023-05-28,Kg,90,136,113
Tomato Big(Nepali),2023-05-29,Kg,43,66,54
Tomato Small(Local),2023-05-29,Kg,35,55,45
Potato Red,2023-05-29,Kg,53,82,67
Potato White,2023-05-29,Kg,44,68,56
Onion Dry (Indian),2023-05-29,Kg,60,100,80
Carrot(Local),2023-05-29,Kg,88,122,105
Cabbage(Local),2023-05-29,Kg,34,47,40
Cauliflower Local,2023-05-29,Kg,54,96,75
Raddish White(Local),2023-05-29,Kg,20,38,29
Brinjal Long,2023-05-29,Kg,46,73,59
Cow pea(Long),2023-05-29,Kg,81,121,101
Green Peas,2023-05-29,Kg,135,176,155
French Bean(Local),2023-05-29,Kg,61,104,82
Bitter Gourd,2023-05-29,Kg,92,137,114
Bottle Gourd,2023-05-29,Kg,43,68,55
Pointed Gourd(Local),2023-05-29,Kg,61,104,82
Snake Gourd,2023-05-29,Kg,50,86,68
Sponge Gourd,2023-05-29,Kg,66,106,86
Pumpkin,2023-05-29,Kg,35,55,45
Squash(Long),2023-05-29,Kg,43,72,57
Okra,2023-05-29,Kg,72,98,85
Arum,2023-05-29,Kg,60,92,76
Barela,2023-05-29,Kg,46,60,53
Radish Red,2023-05-29,Kg,32,52,42
Mushroom(Button),2023-05-29,Kg,355,561,458
Mushroom(Kanya),2023-05-29,Kg,177,213,195
Spinach Leaf,2023-05-29,Kg,99,139,119
Mustard Leaf,2023-05-29,Kg,40,71,55
Coriander,2023-05-29,Kg,174,277,225
Garlic Dry Nepali,2023-05-29,Kg,217,324,270
Garlic Dry Chinese,2023-05-29,Kg,254,348,301
Ginger,2023-05-29,Kg,180,234,207
Chilly Green,2023-05-29,Kg,88,136,112
Capsicum,2023-05-29,Kg,100,156,128
Cucumber(Local),2023-05-29,Kg,65,99,82
Apple(Jholey),2023-05-29,Kg,173,280,226
Banana,2023-05-29,Dozen,105,156,130
Pomegranate,2023-05-29,Kg,299,373,336
Orange(Nepali),2023-05-29,Kg,87,139,113
Papaya(Indian),2023-05-29,Kg,93,122,107
Tomato Big(Nepali),2023-05-30,Kg,42,65,53
Tomato Small(Local),2023-05-30,Kg,35,56,45
Potato Red,2023-05-30,Kg,58,86,72
Potato White,2023-05-30,Kg,44,57,50
Onion Dry (Indian),2023-05-30,Kg,72,98,85
Carrot(Local),2023-05-30,Kg,90,136,113
Cabbage(Local),2023-05-30,Kg,36,48,42
Cauliflower Local,2023-05-30,Kg,51,84,67
Raddish White(Local),2023-05-30,Kg,20,42,31
Brinjal Long,2023-05-30,Kg,45,81,63
Cow pea(Long),2023-05-30,Kg,85,121,103
Green Peas,2023-05-30,Kg,123,190,156
French Bean(Local),2023-05-30,Kg,60,89,74
Bitter Gourd,2023-05-30,Kg,80,148,114
Bottle Gourd,2023-05-30,Kg,45,73,59
Pointed Gourd(Local),2023-05-30,Kg,66,95,80
Snake Gourd,2023-05-30,Kg,50,86,68
Sponge Gourd,2023-05-30,Kg,68,100,84
Pumpkin,2023-05-30,Kg,40,53,46
Squash(Long),2023-05-30,Kg,42,68,55
Okra,2023-05-30,Kg,72,109,90
Arum,2023-05-30,Kg,67,85,76
Barela,2023-05-30,Kg,40,69,54
Radish Red,2023-05-30,Kg,31,56,43
Mushroom(Button),2023-05-30,Kg,400,564,482
Mushroom(Kanya),2023-05-30,Kg,164,237,200
Spinach Leaf,2023-05-30,Kg,104,136,120
Mustard Leaf,2023-05-30,Kg,41,70,55
Coriander,2023-05-30,Kg,173,284,228
Garlic Dry Nepali,2023-05-30,Kg,227,338,282
Garlic Dry Chinese,2023-05-30,Kg,280,402,341
Ginger,2023-05-30,Kg,155,234,194
Chilly Green,2023-05-30,Kg,86,128,107
Capsicum,2023-05-30,Kg,117,161,139
Cucumber(Local),2023-05-30,Kg,69,97,83
Apple(Jholey),2023-05-30,Kg,158,268,213
Banana,2023-05-30,Dozen,110,158,134
Pomegranate,2023-05-30,Kg,258,414,336
Orange(Nepali),2023-05-30,Kg,89,159,124
Papaya(Indian),2023-05-30,Kg,88,139,113
Tomato Big(Nepali),2023-05-31,Kg,44,68,56
Tomato Small(Local),2023-05-31,Kg,36,61,48
Potato Red,2023-05-31,Kg,52,73,62
Potato White,2023-05-31,Kg,40,66,53
Onion Dry (Indian),2023-05-31,Kg,67,110,88
Carrot(Local),2023-05-31,Kg,82,134,108
Cabbage(Local),2023-05-31,Kg,33,53,43
Cauliflower Local,2023-05-31,Kg,53,92,72
Raddish White(Local),2023-05-31,Kg,20,39,29
Brinjal Long,2023-05-31,Kg,51,75,63
Cow pea(Long),2023-05-31,Kg,84,118,101
Green Peas,2023-05-31,Kg,122,173,147
French Bean(Local),2023-05-31,Kg,65,95,80
Bitter Gourd,2023-05-31,Kg,93,130,111
Bottle Gourd,2023-05-31,Kg,43,63,53
Pointed Gourd(Local),2023-05-31,Kg,62,96,79
Snake Gourd,2023-05-31,Kg,51,86,68
Sponge Gourd,2023-05-31,Kg,69,105,87
Pumpkin,2023-05-31,Kg,41,61,51
Squash(Long),2023-05-31,Kg,41,64,52
Okra,2023-05-31,Kg,70,97,83
Arum,2023-05-31,Kg,70,97,83
Barela,2023-05-31,Kg,41,66,53
Radish Red,2023-05-31,Kg,35,48,41
Mushroom(Button),2023-05-31,Kg,366,508,437
Mushroom(Kanya),2023-05-31,Kg,177,246,211
Spinach Leaf,2023-05-31,Kg,99,126,112
Mustard Leaf,2023-05-31,Kg,46,63,54
Coriander,2023-05-31,Kg,177,279,228
Garlic Dry Nepali,2023-05-31,Kg,203,348,275
Garlic Dry Chinese,2023-05-31,Kg,269,387,328
Ginger,2023-05-31,Kg,173,231,202
Chilly Green,2023-05-31,Kg,91,142,116
Capsicum,2023-05-31,Kg,113,166,139
Cucumber(Local),2023-05-31,Kg,60,94,77
Apple(Jholey),2023-05-31,Kg,157,316,236
Banana,2023-05-31,Dozen,101,172,136
Pomegranate,2023-05-31,Kg,294,421,357
Orange(Nepali),2023-05-31,Kg,90,139,114
Papaya(Indian),2023-05-31,Kg,92,117,104
Tomato Big(Nepali),2023-06-01,Kg,39,69,54
Tomato Small(Local),2023-06-01,Kg,34,61,47
Potato Red,2023-06-01,Kg,58,78,68
Potato White,2023-06-01,Kg,46,63,54
Onion Dry (Indian),2023-06-01,Kg,64,112,88
Carrot(Local),2023-06-01,Kg,87,130,108
Cabbage(Local),2023-06-01,Kg,30,50,40
Cauliflower Local,2023-06-01,Kg,49,95,72
Raddish White(Local),2023-06-01,Kg,21,40,30
Brinjal Long,2023-06-01,Kg,50,76,63
Cow pea(Long),2023-06-01,Kg,75,118,96
Green Peas,2023-06-01,Kg,143,174,158
French Bean(Local),2023-06-01,Kg,64,93,78
Bitter Gourd,2023-06-01,Kg,86,129,107
Bottle Gourd,2023-06-01,Kg,43,70,56
Pointed Gourd(Local),2023-06-01,Kg,70,101,85
Snake Gourd,2023-06-01,Kg,51,83,67
Sponge Gourd,2023-06-01,Kg,64,97,80
Pumpkin,2023-06-01,Kg,35,59,47
Squash(Long),2023-06-01,Kg,40,72,56
Okra,2023-06-01,Kg,76,106,91
Arum,2023-06-01,Kg,61,89,75
Barela,2023-06-01,Kg,39,66,52
Radish Red,2023-06-01,Kg,35,48,41
Mushroom(Button),2023-06-01,Kg,395,484,439
Mushroom(Kanya),2023-06-01,Kg,175,217,196
Spinach Leaf,2023-06-01,Kg,89,149,119
Mustard Leaf,2023-06-01,Kg,44,63,53
Coriander,2023-06-01,Kg,168,267,217
Garlic Dry Nepali,2023-06-01,Kg,206,352,279
Garlic Dry Chinese,2023-06-01,Kg,274,336,305
Ginger,2023-06-01,Kg,171,249,210
Chilly Green,2023-06-01,Kg,81,138,109
Capsicum,2023-06-01,Kg,111,175,143
Cucumber(Local),2023-06-01,Kg,65,99,82
Apple(Jholey),2023-06-01,Kg,174,265,219
Banana,2023-06-01,Dozen,114,156,135
Pomegranate,2023-06-01,Kg,280,395,337
Orange(Nepali),2023-06-01,Kg,91,136,113
Papaya(Indian),2023-06-01,Kg,85,131,108
Tomato Big(Nepali),2023-06-02,Kg,42,69,55
Tomato Small(Local),2023-06-02,Kg,31,54,42
Potato Red,2023-06-02,Kg,57,80,68
Potato White,2023-06-02,Kg,46,69,57
Onion Dry (Indian),2023-06-02,Kg,64,107,85
Carrot(Local),2023-06-02,Kg,79,130,104
Cabbage(Local),2023-06-02,Kg,34,48,41
Cauliflower Local,2023-06-02,Kg,57,89,73
Raddish White(Local),2023-06-02,Kg,21,37,29
Brinjal Long,2023-06-02,Kg,45,71,58
Cow pea(Long),2023-06-02,Kg,73,105,89
Green Peas,2023-06-02,Kg,129,163,146
French Bean(Local),2023-06-02,Kg,70,98,84
Bitter Gourd,2023-06-02,Kg,95,132,113
Bottle Gourd,2023-06-02,Kg,48,74,61
Pointed Gourd(Local),2023-06-02,Kg,59,107,83
Snake Gourd,2023-06-02,Kg,55,78,66
Sponge Gourd,2023-06-02,Kg,67,96,81
Pumpkin,2023-06-02,Kg,42,52,47
Squash(Long),2023-06-02,Kg,39,75,57
Okra,2023-06-02,Kg,82,102,92
Arum,2023-06-02,Kg,66,96,81
Barela,2023-06-02,Kg,41,68,54
Radish Red,2023-06-02,Kg,33,55,44
Mushroom(Button),2023-06-02,Kg,413,519,466
Mushroom(Kanya),2023-06-02,Kg,180,225,202
Spinach Leaf,2023-06-02,Kg,106,129,117
Mustard Leaf,2023-06-02,Kg,43,68,55
Coriander,2023-06-02,Kg,167,284,225
Garlic Dry Nepali,2023-06-02,Kg,223,323,273
Garlic Dry Chinese,2023-06-02,Kg,295,343,319
Ginger,2023-06-02,Kg,156,254,205
Chilly Green,2023-06-02,Kg,86,148,117
Capsicum,2023-06-02,Kg,113,169,141
Cucumber(Local),2023-06-02,Kg,59,111,85
Apple(Jholey),2023-06-02,Kg,158,295,226
Banana,2023-06-02,Dozen,100,175,137
Pomegranate,2023-06-02,Kg,298,422,360
Orange(Nepali),2023-06-02,Kg,81,153,117
Papaya(Indian),2023-06-02,Kg,96,132,114
Tomato Big(Nepali),2023-06-03,Kg,47,69,58
Tomato Small(Local),2023-06-03,Kg,33,56,44
Potato Red,2023-06-03,Kg,57,83,70
Potato White,2023-06-03,Kg,44,57,50
Onion Dry (Indian),2023-06-03,Kg,60,96,78
Carrot(Local),2023-06-03,Kg,86,127,106
Cabbage(Local),2023-06-03,Kg,30,51,40
Cauliflower Local,2023-06-03,Kg,53,84,68
Raddish White(Local),2023-06-03,Kg,19,42,30
Brinjal Long,2023-06-03,Kg,53,71,62
Cow pea(Long),2023-06-03,Kg,80,104,92
Green Peas,2023-06-03,Kg,135,175,155
French Bean(Local),2023-06-03,Kg,59,100,79
Bitter Gourd,2023-06-03,Kg,91,142,116
Bottle Gourd,2023-06-03,Kg,42,72,57
Pointed Gourd(Local),2023-06-03,Kg,70,101,85
Snake Gourd,2023-06-03,Kg,53,87,70
Sponge Gourd,2023-06-03,Kg,61,103,82
Pumpkin,2023-06-03,Kg,39,52,45
Squash(Long),2023-06-03,Kg,46,66,56
Okra,2023-06-03,Kg,78,105,91
Arum,2023-06-03,Kg,68,92,80
Barela,2023-06-03,Kg,45,64,54
Radish Red,2023-06-03,Kg,33,48,40
Mushroom(Button),2023-06-03,Kg,369,490,429
Mushroom(Kanya),2023-06-03,Kg,152,209,180
Spinach Leaf,2023-06-03,Kg,90,129,109
Mustard Leaf,2023-06-03,Kg,43,72,57
Coriander,2023-06-03,Kg,170,291,230
Garlic Dry Nepali,2023-06-03,Kg,203,348,275
Garlic Dry Chinese,2023-06-03,Kg,260,353,306
Ginger,2023-06-03,Kg,168,263,215
Chilly Green,2023-06-03,Kg,88,144,116
Capsicum,2023-06-03,Kg,102,159,130
Cucumber(Local),2023-06-03,Kg,67,108,87
Apple(Jholey),2023-06-03,Kg,149,262,205
Banana,2023-06-03,Dozen,114,161,137
Pomegranate,2023-06-03,Kg,279,406,342
Orange(Nepali),2023-06-03,Kg,81,141,111
Papaya(Indian),2023-06-03,Kg,84,127,105
Tomato Big(Nepali),2023-06-04,Kg,41,62,51
Tomato Small(Local),2023-06-04,Kg,32,51,41
Potato Red,2023-06-04,Kg,59,73,66
Potato White,2023-06-04,Kg,45,60,52
Onion Dry (Indian),2023-06-04,Kg,67,105,86
Carrot(Local),2023-06-04,Kg,94,121,107
Cabbage(Local),2023-06-04,Kg,30,52,41
Cauliflower Local,2023-06-04,Kg,55,83,69
Raddish White(Local),2023-06-04,Kg,20,38,29
Brinjal Long,2023-06-04,Kg,52,69,60
Cow pea(Long),2023-06-04,Kg,83,116,99
Green Peas,2023-06-04,Kg,140,164,152
French Bean(Local),2023-06-04,Kg,69,88,78
Bitter Gourd,2023-06-04,Kg,90,140,115
Bottle Gourd,2023-06-04,Kg,43,71,57
Pointed Gourd(Local),2023-06-04,Kg,68,111,89
Snake Gourd,2023-06-04,Kg,54,77,65
Sponge Gourd,2023-06-04,Kg,61,94,77
Pumpkin,2023-06-04,Kg,40,57,48
Squash(Long),2023-06-04,Kg,43,64,53
Okra,2023-06-04,Kg,80,94,87
Arum,2023-06-04,Kg,60,83,71
Barela,2023-06-04,Kg,47,61,54
Radish Red,2023-06-04,Kg,32,48,40
Mushroom(Button),2023-06-04,Kg,393,549,471
Mushroom(Kanya),2023-06-04,Kg,159,250,204
Spinach Leaf,2023-06-04,Kg,102,137,119
Mustard Leaf,2023-06-04,Kg,46,64,55
Coriander,2023-06-04,Kg,157,301,229
Garlic Dry Nepali,2023-06-04,Kg,223,313,268
Garlic Dry Chinese,2023-06-04,Kg,261,398,329
Ginger,2023-06-04,Kg,166,252,209
Chilly Green,2023-06-04,Kg,81,147,114
Capsicum,2023-06-04,Kg,111,169,140
Cucumber(Local),2023-06-04,Kg,64,106,85
Apple(Jholey),2023-06-04,Kg,176,272,224
Banana,2023-06-04,Dozen,106,174,140
Pomegranate,2023-06-04,Kg,297,374,335
Orange(Nepali),2023-06-04,Kg,93,135,114
Papaya(Indian),2023-06-04,Kg,84,130,107
Tomato Big(Nepali),2023-06-05,Kg,45,68,56
Tomato Small(Local),2023-06-05,Kg,32,59,45
Potato Red,2023-06-05,Kg,55,72,63
Potato White,2023-06-05,Kg,46,58,52
Onion Dry (Indian),2023-06-05,Kg,66,106,86
Carrot(Local),2023-06-05,Kg,79,133,106
Cabbage(Local),2023-06-05,Kg,32,47,39
Cauliflower Local,2023-06-05,Kg,59,82,70
Raddish White(Local),2023-06-05,Kg,21,39,30
Brinjal Long,2023-06-05,Kg,48,75,61
Cow pea(Long),2023-06-05,Kg,69,107,88
Green Peas,2023-06-05,Kg,141,157,149
French Bean(Local),2023-06-05,Kg,68,92,80
Bitter Gourd,2023-06-05,Kg,93,139,116
Bottle Gourd,2023-06-05,Kg,47,64,55
Pointed Gourd(Local),2023-06-05,Kg,67,110,88
Snake Gourd,2023-06-05,Kg,56,82,69
Sponge Gourd,2023-06-05,Kg,70,96,83
Pumpkin,2023-06-05,Kg,37,61,49
Squash(Long),2023-06-05,Kg,43,69,56
Okra,2023-06-05,Kg,82,104,93
Arum,2023-06-05,Kg,62,98,80
Barela,2023-06-05,Kg,45,57,51
Radish Red,2023-06-05,Kg,29,47,38
Mushroom(Button),2023-06-05,Kg,406,491,448
Mushroom(Kanya),2023-06-05,Kg,178,247,212
Spinach Leaf,2023-06-05,Kg,102,132,117
Mustard Leaf,2023-06-05,Kg,44,69,56
Coriander,2023-06-05,Kg,168,292,230
Garlic Dry Nepali,2023-06-05,Kg,234,315,274
Garlic Dry Chinese,2023-06-05,Kg,276,366,321
Ginger,2023-06-05,Kg,149,234,191
Chilly Green,2023-06-05,Kg,95,148,121
Capsicum,2023-06-05,Kg,98,172,135
Cucumber(Local),2023-06-05,Kg,62,98,80
Apple(Jholey),2023-06-05,Kg,174,312,243
Banana,2023-06-05,Dozen,116,154,135
Pomegranate,2023-06-05,Kg,251,389,320
Orange(Nepali),2023-06-05,Kg,85,157,121
Papaya(Indian),2023-06-05,Kg,93,133,113
Tomato Big(Nepali),2023-06-06,Kg,41,69,55
Tomato Small(Local),2023-06-06,Kg,35,60,47
Potato Red,2023-06-06,Kg,58,74,66
Potato White,2023-06-06,Kg,41,59,50
Onion Dry (Indian),2023-06-06,Kg,71,110,90
Carrot(Local),2023-06-06,Kg,87,130,108
Cabbage(Local),2023-06-06,Kg,33,47,40
Cauliflower Local,2023-06-06,Kg,52,98,75
Raddish White(Local),2023-06-06,Kg,22,36,29
Brinjal Long,2023-06-06,Kg,46,75,60
Cow pea(Long),2023-06-06,Kg,71,111,91
Green Peas,2023-06-06,Kg,140,155,147
French Bean(Local),2023-06-06,Kg,67,91,79
Bitter Gourd,2023-06-06,Kg,78,143,110
Bottle Gourd,2023-06-06,Kg,39,65,52
Pointed Gourd(Local),2023-06-06,Kg,68,96,82
Snake Gourd,2023-06-06,Kg,59,78,68
Sponge Gourd,2023-06-06,Kg,63,91,77
Pumpkin,2023-06-06,Kg,39,57,48
Squash(Long),2023-06-06,Kg,46,72,59
Okra,2023-06-06,Kg,77,110,93
Arum,2023-06-06,Kg,65,91,78
Barela,2023-06-06,Kg,39,64,51
Radish Red,2023-06-06,Kg,32,46,39
Mushroom(Button),2023-06-06,Kg,400,505,452
Mushroom(Kanya),2023-06-06,Kg,156,215,185
Spinach Leaf,2023-06-06,Kg,92,133,112
Mustard Leaf,2023-06-06,Kg,45,62,53
Coriander,2023-06-06,Kg,162,292,227
Garlic Dry Nepali,2023-06-06,Kg,199,310,254
Garlic Dry Chinese,2023-06-06,Kg,277,362,319
Ginger,2023-06-06,Kg,155,258,206
Chilly Green,2023-06-06,Kg,86,128,107
Capsicum,2023-06-06,Kg,118,147,132
Cucumber(Local),2023-06-06,Kg,70,104,87
Apple(Jholey),2023-06-06,Kg,152,271,211
Banana,2023-06-06,Dozen,118,145,131
Pomegranate,2023-06-06,Kg,252,407,329
Orange(Nepali),2023-06-06,Kg,89,155,122
Papaya(Indian),2023-06-06,Kg,79,125,102
Tomato Big(Nepali),2023-06-07,Kg,44,65,54
Tomato Small(Local),2023-06-07,Kg,35,54,44
Potato Red,2023-06-07,Kg,57,84,70
Potato White,2023-06-07,Kg,44,63,53
Onion Dry (Indian),2023-06-07,Kg,70,103,86
Carrot(Local),2023-06-07,Kg,88,133,110
Cabbage(Local),2023-06-07,Kg,30,54,42
Cauliflower Local,2023-06-07,Kg,57,90,73
Raddish White(Local),2023-06-07,Kg,23,42,32
Brinjal Long,2023-06-07,Kg,44,80,62
Cow pea(Long),2023-06-07,Kg,78,108,93
Green Peas,2023-06-07,Kg,119,176,147
French Bean(Local),2023-06-07,Kg,63,94,78
Bitter Gourd,2023-06-07,Kg,88,146,117
Bottle Gourd,2023-06-07,Kg,43,67,55
Pointed Gourd(Local),2023-06-07,Kg,61,103,82
Snake Gourd,2023-06-07,Kg,55,75,65
Sponge Gourd,2023-06-07,Kg,63,91,77
Pumpkin,2023-06-07,Kg,36,56,46
Squash(Long),2023-06-07,Kg,45,73,59
Okra,2023-06-07,Kg,77,111,94
Arum,2023-06-07,Kg,61,86,73
Barela,2023-06-07,Kg,45,60,52
Radish Red,2023-06-07,Kg,31,52,41
Mushroom(Button),2023-06-07,Kg,359,493,426
Mushroom(Kanya),2023-06-07,Kg,159,239,199
Spinach Leaf,2023-06-07,Kg,99,143,121
Mustard Leaf,2023-06-07,Kg,44,66,55
Coriander,2023-06-07,Kg,169,298,233
Garlic Dry Nepali,2023-06-07,Kg,198,293,245
Garlic Dry Chinese,2023-06-07,Kg,274,382,328
Ginger,2023-06-07,Kg,165,253,209
Chilly Green,2023-06-07,Kg,92,129,110
Capsicum,2023-06-07,Kg,105,145,125
Cucumber(Local),2023-06-07,Kg,68,94,81
Apple(Jholey),2023-06-07,Kg,148,256,202
Banana,2023-06-07,Dozen,101,173,137
Pomegranate,2023-06-07,Kg,293,392,342
Orange(Nepali),2023-06-07,Kg,80,136,108
Papaya(Indian),2023-06-07,Kg,86,123,104
Tomato Big(Nepali),2023-06-08,Kg,47,67,57
Tomato Small(Local),2023-06-08,Kg,32,58,45
Potato Red,2023-06-08,Kg,54,81,67
Potato White,2023-06-08,Kg,39,60,49
Onion Dry (Indian),2023-06-08,Kg,70,110,90
Carrot(Local),2023-06-08,Kg,87,125,106
Cabbage(Local),2023-06-08,Kg,34,50,42
Cauliflower Local,2023-06-08,Kg,52,87,69
Raddish White(Local),2023-06-08,Kg,21,41,31
Brinjal Long,2023-06-08,Kg,52,77,64
Cow pea(Long),2023-06-08,Kg,83,117,100
Green Peas,2023-06-08,Kg,130,182,156
French Bean(Local),2023-06-08,Kg,61,94,77
Bitter Gourd,2023-06-08,Kg,93,123,108
Bottle Gourd,2023-06-08,Kg,42,65,53
Pointed Gourd(Local),2023-06-08,Kg,68,98,83
Snake Gourd,2023-06-08,Kg,55,72,63
Sponge Gourd,2023-06-08,Kg,65,93,79
Pumpkin,2023-06-08,Kg,35,54,44
Squash(Long),2023-06-08,Kg,44,68,56
Okra,2023-06-08,Kg,79,107,93
Arum,2023-06-08,Kg,69,90,79
Barela,2023-06-08,Kg,41,58,49
Radish Red,2023-06-08,Kg,31,54,42
Mushroom(Button),2023-06-08,Kg,411,480,445
Mushroom(Kanya),2023-06-08,Kg,158,236,197
Spinach Leaf,2023-06-08,Kg,90,140,115
Mustard Leaf,2023-06-08,Kg,44,66,55
Coriander,2023-06-08,Kg,177,308,242
Garlic Dry Nepali,2023-06-08,Kg,230,340,285
Garlic Dry Chinese,2023-06-08,Kg,256,335,295
Ginger,2023-06-08,Kg,172,246,209
Chilly Green,2023-06-08,Kg,90,145,117
Capsicum,2023-06-08,Kg,104,144,124
Cucumber(Local),2023-06-08,Kg,63,103,83
Apple(Jholey),2023-06-08,Kg,156,303,229
Banana,2023-06-08,Dozen,103,166,134
Pomegranate,2023-06-08,Kg,246,398,322
Orange(Nepali),2023-06-08,Kg,81,136,108
Papaya(Indian),2023-06-08,Kg,78,115,96
Tomato Big(Nepali),2023-06-09,Kg,40,70,55
Tomato Small(Local),2023-06-09,Kg,30,52,41
Potato Red,2023-06-09,Kg,56,82,69
Potato White,2023-06-09,Kg,44,66,55
Onion Dry (Indian),2023-06-09,Kg,62,110,86
Carrot(Local),2023-06-09,Kg,87,116,101
Cabbage(Local),2023-06-09,Kg,31,49,40
Cauliflower Local,2023-06-09,Kg,52,82,67
Raddish White(Local),2023-06-09,Kg,19,40,29
Brinjal Long,2023-06-09,Kg,44,75,59
Cow pea(Long),2023-06-09,Kg,77,122,99
Green Peas,2023-06-09,Kg,137,154,145
French Bean(Local),2023-06-09,Kg,65,96,80
Bitter Gourd,2023-06-09,Kg,91,129,110
Bottle Gourd,2023-06-09,Kg,42,61,51
Pointed Gourd(Local),2023-06-09,Kg,60,104,82
Snake Gourd,2023-06-09,Kg,50,73,61
Sponge Gourd,2023-06-09,Kg,60,95,77
Pumpkin,2023-06-09,Kg,41,54,47
Squash(Long),2023-06-09,Kg,46,65,55
Okra,2023-06-09,Kg,68,105,86
Arum,2023-06-09,Kg,60,91,75
Barela,2023-06-09,Kg,39,59,49
Radish Red,2023-06-09,Kg,30,47,38
Mushroom(Button),2023-06-09,Kg,361,497,429
Mushroom(Kanya),2023-06-09,Kg,158,208,183
Spinach Leaf,2023-06-09,Kg,105,130,117
Mustard Leaf,2023-06-09,Kg,46,64,55
Coriander,2023-06-09,Kg,151,276,213
Garlic Dry Nepali,2023-06-09,Kg,233,299,266
Garlic Dry Chinese,2023-06-09,Kg,254,351,302
Ginger,2023-06-09,Kg,161,229,195
Chilly Green,2023-06-09,Kg,83,148,115
Capsicum,2023-06-09,Kg,101,152,126
Cucumber(Local),2023-06-09,Kg,62,107,84
Apple(Jholey),2023-06-09,Kg,175,257,216
Banana,2023-06-09,Dozen,107,147,127
Pomegranate,2023-06-09,Kg,276,374,325
Orange(Nepali),2023-06-09,Kg,90,140,115
Papaya(Indian),2023-06-09,Kg,89,119,104
Tomato Big(Nepali),2023-06-10,Kg,46,73,59
Tomato Small(Local),2023-06-10,Kg,30,60,45
Potato Red,2023-06-10,Kg,54,80,67
Potato White,2023-06-10,Kg,40,61,50
Onion Dry (Indian),2023-06-10,Kg,67,100,83
Carrot(Local),2023-06-10,Kg,84,116,100
Cabbage(Local),2023-06-10,Kg,31,48,39
Cauliflower Local,2023-06-10,Kg,56,94,75
Raddish White(Local),2023-06-10,Kg,20,41,30
Brinjal Long,2023-06-10,Kg,46,66,56
Cow pea(Long),2023-06-10,Kg,68,116,92
Green Peas,2023-06-10,Kg,124,162,143
French Bean(Local),2023-06-10,Kg,62,88,75
Bitter Gourd,2023-06-10,Kg,91,143,117
Bottle Gourd,2023-06-10,Kg,42,64,53
Pointed Gourd(Local),2023-06-10,Kg,58,104,81
Snake Gourd,2023-06-10,Kg,51,77,64
Sponge Gourd,2023-06-10,Kg,66,102,84
Pumpkin,2023-06-10,Kg,37,61,49
Squash(Long),2023-06-10,Kg,42,71,56
Okra,2023-06-10,Kg,72,103,87
Arum,2023-06-10,Kg,70,94,82
Barela,2023-06-10,Kg,43,57,50
Radish Red,2023-06-10,Kg,33,55,44
Mushroom(Button),2023-06-10,Kg,360,518,439
Mushroom(Kanya),2023-06-10,Kg,156,235,195
Spinach Leaf,2023-06-10,Kg,98,129,113
Mustard Leaf,2023-06-10,Kg,41,65,53
Coriander,2023-06-10,Kg,163,304,233
Garlic Dry Nepali,2023-06-10,Kg,222,301,261
Garlic Dry Chinese,2023-06-10,Kg,286,330,308
Ginger,2023-06-10,Kg,161,239,200
Chilly Green,2023-06-10,Kg,90,144,117
Capsicum,2023-06-10,Kg,105,152,128
Cucumber(Local),2023-06-10,Kg,59,106,82
Apple(Jholey),2023-06-10,Kg,159,290,224
Banana,2023-06-10,Dozen,98,155,126
Pomegranate,2023-06-10,Kg,241,357,299
Orange(Nepali),2023-06-10,Kg,80,155,117
Papaya(Indian),2023-06-10,Kg,82,130,106
Tomato Big(Nepali),2023-06-11,Kg,45,62,53
Tomato Small(Local),2023-06-11,Kg,30,60,45
Potato Red,2023-06-11,Kg,57,72,64
Potato White,2023-06-11,Kg,41,65,53
Onion Dry (Indian),2023-06-11,Kg,61,94,77
Carrot(Local),2023-06-11,Kg,93,127,110
Cabbage(Local),2023-06-11,Kg,34,53,43
Cauliflower Local,2023-06-11,Kg,53,83,68
Raddish White(Local),2023-06-11,Kg,19,39,29
Brinjal Long,2023-06-11,Kg,51,71,61
Cow pea(Long),2023-06-11,Kg,71,118,94
Green Peas,2023-06-11,Kg,139,173,156
French Bean(Local),2023-06-11,Kg,63,91,77
Bitter Gourd,2023-06-11,Kg,81,130,105
Bottle Gourd,2023-06-11,Kg,44,68,56
Pointed Gourd(Local),2023-06-11,Kg,68,100,84
Snake Gourd,2023-06-11,Kg,58,75,66
Sponge Gourd,2023-06-11,Kg,61,97,79
Pumpkin,2023-06-11,Kg,37,56,46
Squash(Long),2023-06-11,Kg,46,63,54
Okra,2023-06-11,Kg,70,96,83
Arum,2023-06-11,Kg,58,94,76
Barela,2023-06-11,Kg,41,64,52
Radish Red,2023-06-11,Kg,29,54,41
Mushroom(Button),2023-06-11,Kg,372,473,422
Mushroom(Kanya),2023-06-11,Kg,157,229,193
Spinach Leaf,2023-06-11,Kg,90,144,117
Mustard Leaf,2023-06-11,Kg,44,70,57
Coriander,2023-06-11,Kg,148,266,207
Garlic Dry Nepali,2023-06-11,Kg,200,297,248
Garlic Dry Chinese,2023-06-11,Kg,270,349,309
Ginger,2023-06-11,Kg,145,259,202
Chilly Green,2023-06-11,Kg,87,128,107
Capsicum,2023-06-11,Kg,106,144,125
Cucumber(Local),2023-06-11,Kg,64,99,81
Apple(Jholey),2023-06-11,Kg,152,290,221
